month,interest,scheduled_principal,prepayment,recovery,loss,total_cf,avg_survival,cumulative_cf,principal_return
100,4932929.905340882,2676854.349410676,2.4412469221751922,0.06912626522438119,0.023042088408127062,7609786.765124715,0.5501779692399106,1840541513.0200837,2676856.859783863
101,4922677.971130144,2687106.2703575552,6.627794394201886,0.19387943080808692,0.0646264769360289,7609791.063161486,0.5501779656914217,1848151304.083245,2687113.09203138
102,4912383.208022681,2697400.99445175,7.274198151937931,0.2526416708652655,0.08421389028842177,7609791.72931423,0.5501779617844068,1855761095.8125594,2697408.521291573
103,4902045.434352025,2707738.7246177103,6.081885629063297,0.269184137577331,0.0897280458591103,7609790.510039487,0.55017795846514,1863370886.322599,2707745.075687477
104,4891664.461535838,2718119.6601944724,4.222988338903728,0.22089175001473796,0.07363058333824597,7609788.565610402,0.550177956304073,1870980674.8882093,2718124.104074561
105,4881240.0962898815,2728543.9986671493,2.445253352009944,0.13523888236856663,0.04507962745618893,7609786.675449266,0.550177955040175,1878590461.5636587,2728546.5791593837
106,4870772.143056679,2739011.936121015,23.878245632077938,1.307988852753899,0.43599628425130005,7609809.265412187,0.5501779425839183,1886200270.8290708,2739037.1223555
107,4860260.314564745,2749523.6110437214,0.9028113878822245,0.060974236573773474,0.02032474552459116,7609784.889394106,0.5501779420652542,1893810055.7184649,2749524.574829346
108,4849704.585104282,2760079.3346102373,23.043572017847403,1.2147405250932333,0.40491350836440965,7609808.1780270245,0.5501779299650633,1901419863.8964918,2760103.59292278
109,4839104.582920663,2770679.190186066,12.576277480059618,0.6808564756978303,0.22695215856594358,7609797.030240747,0.5501779233890833,1909029660.9267325,2770692.4473200217
110,4828460.227740695,2781323.4634062215,0.0,0.0,0.0,7609783.69114697,0.5501779233890833,1916639444.6178794,2781323.4634062215
111,4817771.330694874,2792012.3604520694,23.656316988438444,1.0867476081860443,0.3622492027286803,7609808.434211547,0.5501779107425638,1924249253.052091,2792037.103516666
112,4807037.549814284,2802745.98833488,24.120694380941707,1.2777343669191612,0.42591145563972105,7609808.936577908,0.5501778975433855,1931859061.9886687,2802771.3867636276
113,4796258.765296731,2813524.6112868646,0.11845209634549665,0.009288303606475982,0.0030961012021586613,7609783.50432402,0.5501778974721309,1939468845.4929926,2813524.7390272645
114,4785434.876257635,2824348.4997452255,5.414690075260555,0.149627651422966,0.04987588380765529,7609788.94032061,0.5501778943278616,1947078634.4333131,2824354.0640629525
115,4774565.562827612,2835217.780305552,7.440261665084144,0.22368205760206547,0.07456068586735502,7609791.007076888,0.5501778902875604,1954688425.44039,2835225.4442492747
116,4763650.629357996,2846132.66781579,6.184149149109743,0.25654068228743926,0.08551356076247969,7609789.737863608,0.550177886921683,1962298215.1782537,2846139.1085056216
117,4752689.879593892,2857093.3787918254,4.799176820201968,0.23273303103267504,0.07757767701089167,7609788.290295566,0.5501778843229813,1969908003.4685493,2857098.4107016763
118,4741683.105789183,2868100.1217191345,3.153664999166584,0.14363266548750642,0.0478775551625021,7609786.524805968,0.550177882593956,1977517789.9933553,2868103.419016799
119,4730630.100280476,2879153.107061137,14.599491126658327,0.8267293933354659,0.27557646444515527,7609798.633562191,0.5501778744875725,1985127588.6269174,2879168.5332816574
120,4719530.601827265,2890252.5091306223,0.0,0.0,0.0,7609783.110957936,0.5501778744875725,1992737371.7378752,2890252.5091306223
121,4708384.500824355,2901398.610133567,27.165709897582573,1.4606962330309379,0.48689874434364383,7609811.737364046,0.5501778597071427,2000347183.4752393,2901427.2365396973
122,4697191.424284217,2912591.5057984367,1.1481751621970302,0.07228130098285612,0.024093766994285382,7609784.150539116,0.5501778591030624,2007956967.6257784,2912592.7262549
123,4685951.362607002,2923831.559759097,1.053057218354133,0.06082633767005838,0.020275445890019467,7609784.036249623,0.5501778585045645,2015566751.662028,2923832.6736426535
124,4674664.001860417,2935118.913366168,22.793056486380657,1.0933933339744246,0.3644644446581411,7609806.801676415,0.5501778457864912,2023176558.4637046,2935142.799815988
125,4663329.044715522,2946453.7191207306,23.555555668086978,1.208698614810604,0.4028995382701997,7609807.528090522,0.5501778326149108,2030786365.991795,2946478.483375014
126,4651946.348175013,2957836.2537391456,0.1371730218714221,0.01074381269999862,0.00358127089999954,7609782.74983099,0.550177832529758,2038396148.741626,2957836.40165598
127,4640515.796341624,2969266.8049270376,4.245801094019906,0.12444653765356047,0.041482179217853424,7609786.971516279,0.5501778300371106,2046005935.7131424,2969271.1751746694
128,4629037.06315504,2980745.511514233,6.950031329802433,0.19350367418837353,0.0645012247294578,7609789.718204262,0.5501778259867299,2053615725.4313467,2980752.655049237
129,4617509.933256666,2992272.5973582976,6.646928840540066,0.2675173596341049,0.08917245321136834,7609789.445061149,0.5501778223195224,2061225514.8764079,2992279.5118044973
130,4605934.1954705985,3003848.2916689985,4.6848634058902165,0.2305456558932606,0.07684855196442031,7609787.402548667,0.550177819722096,2068835302.2789564,3003853.20707806
131,4594309.634286508,3015472.821878946,3.655005732355275,0.1628974506811918,0.05429915022706391,7609786.274068666,0.5501778176815957,2076445088.553025,3015476.6397821293
132,4582636.024179522,3027146.4076620913,1.5596556099458092,0.08243272499300268,0.027477574997667568,7609784.073929952,0.5501778167785019,2084054872.626955,3027148.0497504263
133,4570913.144178399,3038869.276831682,0.15134021669528766,0.0053989624550846325,0.0017996541516948775,7609782.577749262,0.5501778166929951,2091664655.2047043,3038869.4335708614
